iter	Passed	Remaining
474	671	742
475	672	740
476	674	739
477	675	738
478	677	736
479	677	734
480	678	732
481	679	730
482	680	728
483	681	726
484	683	725
485	684	723
486	685	721
487	685	719
488	686	717
489	688	716
490	689	714
491	690	713
492	691	711
493	692	709
494	693	707
495	694	706
496	695	704
497	696	702
498	697	700
499	698	698
500	699	696
501	700	695
502	701	693
503	702	691
504	703	690
505	705	688
506	706	686
507	707	684
508	708	683
509	709	681
510	710	679
511	711	678
512	712	676
513	713	674
514	714	672
515	715	670
516	716	669
517	717	667
518	719	666
519	720	665
520	721	663
521	722	661
522	723	659
523	725	658
524	726	657
525	727	655
526	728	653
527	729	652
528	730	650
529	732	649
530	733	647
531	734	646
532	736	644
533	737	643
534	738	641
535	739	639
536	740	638
537	741	636
538	741	634
539	742	632
540	743	631
541	745	629
542	745	627
543	747	626
544	748	624
545	749	623
546	750	621
547	751	619
548	752	618
549	753	616
550	754	614
551	755	613
552	756	611
553	757	609
554	758	608
555	759	606
556	760	604
557	761	602
558	762	601
559	763	600
560	766	599
561	767	597
562	768	596
563	769	594
564	770	592
565	771	591
566	772	589
567	773	588
568	774	586
569	775	584
570	776	583
571	777	581
572	778	580
573	811	602
574	812	600
575	813	599
576	814	597
577	815	595
578	816	593
579	817	592
580	818	590
581	819	588
582	820	586
583	821	585
584	822	583
585	823	581
586	824	579
587	826	578
588	827	577
589	828	575
590	829	573
591	830	572
592	831	570
593	831	568
594	832	566
595	833	565
596	834	563
597	835	561
598	836	560
599	837	558
600	838	556
601	839	555
602	841	554
603	842	552
604	843	550
605	844	549
606	845	547
607	847	546
608	848	544
609	850	543
610	851	541
611	852	540
612	853	538
613	856	538
614	857	537
615	858	535
616	860	534
617	861	532
618	862	531
619	864	529
620	865	528
621	866	526
622	868	525
623	870	524
624	871	523
625	873	521
626	874	520
627	875	518
628	876	517
629	877	515
630	879	514
631	880	512
632	881	510
633	882	509
634	883	507
635	884	506
636	885	504
637	886	503
638	887	501
639	888	499
640	889	498
641	890	496
642	891	494
643	892	493
644	893	491
645	894	490
646	895	488
647	896	486
648	897	485
649	898	483
650	899	482
651	900	480
652	901	479
653	902	477
654	903	476
655	904	474
656	905	472
657	906	471
658	907	469
659	908	467
660	909	466
661	910	464
662	911	463
663	912	461
664	913	460
665	914	458
666	915	457
667	916	455
668	917	454
669	918	452
670	919	451
671	920	449
672	921	447
673	922	446
674	923	444
675	924	443
676	925	441
677	927	440
678	928	438
679	929	437
680	930	435
681	931	434
682	932	432
683	933	431
684	934	429
685	935	428
686	936	426
687	937	425
688	938	423
689	940	422
690	941	420
691	942	419
692	943	417
693	943	416
694	944	414
695	946	413
696	947	411
697	948	410
698	949	408
699	950	407
700	950	405
701	951	404
702	952	402
703	953	400
704	954	399
705	955	397
706	956	396
707	957	394
708	958	393
709	959	391
710	960	390
711	961	388
712	962	387
713	963	386
714	964	384
715	966	383
716	967	382
717	968	380
718	969	379
719	970	377
720	971	376
721	973	374
722	974	373
723	975	371
724	976	370
725	977	368
726	978	367
727	979	365
728	980	364
729	981	362
730	983	361
731	984	360
732	984	358
733	985	357
734	986	355
735	987	354
736	988	352
737	989	351
738	991	350
739	992	348
740	993	347
741	994	345
742	995	344
743	997	343
744	998	341
745	1000	340
746	1001	339
747	1003	337
748	1004	336
749	1006	335
750	1007	334
751	1009	332
752	1010	331
753	1011	330
754	1013	328
755	1014	327
756	1015	325
757	1016	324
758	1017	322
759	1018	321
760	1019	320
761	1020	318
762	1021	317
763	1022	315
764	1024	314
765	1025	313
766	1025	311
767	1027	310
768	1028	308
769	1029	307
770	1030	306
771	1031	304
772	1032	303
773	1033	301
774	1034	300
775	1036	299
776	1037	297
777	1039	296
778	1040	295
779	1041	293
780	1043	292
781	1046	291
782	1047	290
783	1049	289
784	1051	287
785	1052	286
786	1053	285
787	1055	283
788	1058	283
789	1060	281
790	1061	280
791	1063	279
792	1065	278
793	1067	276
794	1068	275
795	1069	274
796	1070	272
797	1072	271
798	1073	269
799	1074	268
800	1075	267
801	1076	265
802	1077	264
803	1081	263
804	1082	262
805	1083	260
806	1084	259
807	1085	257
808	1087	256
809	1088	255
810	1090	254
811	1092	252
812	1093	251
813	1096	250
814	1098	249
815	1101	248
816	1102	246
817	1103	245
818	1104	244
819	1106	242
820	1108	241
821	1109	240
822	1111	238
823	1112	237
824	1113	236
825	1114	234
826	1115	233
827	1116	231
828	1117	230
829	1118	229
830	1119	227
831	1121	226
832	1122	225
833	1124	223
834	1125	222
835	1126	221
836	1127	219
837	1128	218
838	1129	216
839	1130	215
840	1131	213
841	1133	212
842	1135	211
843	1136	210
844	1138	208
845	1141	207
846	1143	206
847	1144	205
848	1145	203
849	1146	202
850	1147	200
851	1149	199
852	1150	198
853	1151	196
854	1152	195
855	1154	194
856	1155	192
